record_id,title,authors,year,database,doi,language,duplicate,decision_stage,decision,exclusion_reason,notes
87,"Investigation of Listeria monocytogenes, Salmonella enterica and Yersinia enterocolitica in pig carcasses in Southern Brazil","Kich, Jalusa D. and Souza, Agnes I.A. and Montes, Júlia and Meneguzzi, Mariana and Costa, Eduardo F. and Coldebella, Arlei and Corbellini, Luis Gustavo and Cardoso, Marisa",2020,SciELO,10.1590/1678-5150-pvb-6628,en,Não,Triagem título/resumo,Excluded,out of scope,
88,Transcriptos alternativamente poliadenilados de calpastatina en músculos de bovino,"Casale, M.F and Silvestro, C and Corva, P.M and Soria, L.A",2020,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
89,Estudio de los hábitos y generación de desperdicios alimentarios de jóvenes estudiantes universitarios,"Morata, María Piedad and González-Santana, Raquel A. and Blesa, Jesús and Frígola, Ana and Esteve, María J.",2020,SciELO,10.20960/nh.02833,es,Não,Triagem título/resumo,Excluded,out of scope,
90,Os impactos sobre o agronegócio da carne bovina na Argentina e no Brasil: uma análise histórica e comparada,"Brisola, Marlon Vinícius",2020,SciELO,10.35588/rivar.v7i19.4351,es,Não,Triagem título/resumo,Excluded,out of scope,
91,Use of Prochilodus lineatus meat for burger making,"Pretto, Alexandra and Camargo, Antonio Cleber da Silva and Stefanello, Cristiano Miguel and Kuroda, Caroline Naomi and Rosa, Guilherme Masteloto da and Gollino, Gabriel de Paula and Ribeiro, Vanessa Bley and Neis, Alessandra Sayuri Kikuchi Tamajusuku",2020,SciELO,10.1590/1981-6723.23019,en,Não,Triagem título/resumo,Excluded,out of scope,
92,"Identification of commercial meats from Amazonas, Peru using PCR-RFLP of mitochondrial 12S rRNA gene","Tafur-Culqui, Josué and Calderon, Martha S. and Bustamante, Danilo E.",2020,SciELO,10.1590/1981-6723.27419,en,Não,Triagem título/resumo,Excluded,out of scope,
93,Monitoring of Newcastle disease in poultry at migratory birds landing sites: Mangue Seco and Cacha Pregos between 2013 and 2014,"Prinz, Marcos Santos and Fernandes, Bruno Passos and Ribas, Jorge Raimundo Lins and Santos, Maíra Pessoa Jornane Barbosa and Ferrão, Iram da Silva and Leal, Rui Ferreira and Souza, Verena Maria Mendes de and Cerqueira, Robson Bahia",2020,SciELO,10.1590/1808-1657000122020,en,Não,Triagem título/resumo,Excluded,out of scope,
94,Óptimos técnicos para la producción de leche y carne en el sistema bovino de doble propósito del trópico mexicano,"Bautista Martínez, Yuridia and Espinosa García, José Antonio and Herrera Haro, José Guadalupe and Martínez Castañeda, Francisco Ernesto and Vaquera Huerta, Humberto and Estrada Drouaillet, Benigno and Granados Rivera, Lorenzo Danilo",2019,SciELO,10.22319/rmcp.v10i4.4927,es,Não,Triagem título/resumo,Excluded,out of scope,
95,"Caracterização microbiológica, físico-química e das condições de produção e comercialização da carne de sol de Salinas, Minas Gerais","Assis, D.C.S. and Santos, T.M. and Ornellas, C.B.D. and Drummond, A.F. and Magalhães, F.C. and Santos, W.L.M.",2019,SciELO,10.1590/1678-4162-11325,pt,Não,Triagem título/resumo,Excluded,out of scope,
96,Las empresas frigoríficas en Argentina: estrategias empresariales y cambios en el sector industrial (1882-1930),"Lluch, Andrea",2019,SciELO,10.18232/alhe.985,es,Não,Triagem título/resumo,Excluded,out of scope,
97,Metabolism and function of lipids in the adipose and liver tissues of production ruminants: a review,"Castillo Vargas, Julián Andrés",2019,SciELO,10.21615/cesmvz.14.2.3,en,Não,Triagem título/resumo,Excluded,out of scope,
98,Impacto de los cambios en el ingreso sobre la demanda de carnes en México,"Martínez Luis, David and Caamal Cauich, Ignacio and Pat Fernández, Lucio Alberto and Pérez Fernández, Alberto and Torres Tello, Giovanna Patricia and Anguebes Franceschi, Francisco",2019,SciELO,10.29312/remexca.v10i3.1241,es,Não,Triagem título/resumo,Excluded,out of scope,
99,Por una Sociología de carne y sangre,"Wacquant, Loïc",2019,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
100,Long-term beef production from pastures established with and without annual crops compared with native savanna in the Eastern Plains of Colombia: A compilation and analysis of on-farm results 1979‒2016,"VERA, RAÚL R. and HOYOS GARCÉS, PHANOR",2019,SciELO,10.17138/tgft(7)1-13,en,Não,Triagem título/resumo,Excluded,out of scope,
101,Effect of chitosan coating on contamination of fresh bovine meat sold in the open market,"Silva, Alessandra Santana and Sampaio, Adriana Pereira and Santos, Marly Silveira and Souza, Bartolomeu Warlene Silva de and Evangelista-Barreto, Norma Suely",2019,SciELO,10.5935/1806-6690.20190005,en,Não,Triagem título/resumo,Excluded,out of scope,
102,Lipid content and fatty acids compositions in commercial cuts of young goat meat,"Machado, Bruna Aparecida Souza and Gomes, Ivana Silva and Nunes, Cassiane da Silva Oliveira and Andrade, Graciele de Queiroz and Nery, Tatiana Barreto Rocha and Reis, João Henrique de Oliveira and Barbosa, Josiane Dantas Viana and Druzian, Janice Izabel",2019,SciELO,10.1590/0103-8478cr20180587,en,Não,Triagem título/resumo,Excluded,out of scope,
103,AVALIAÇÃO MICROBIOLÓGICA DE COXA E SOBRECOXA DE FRANGO COMERCIALIZADAS A GRANEL EM SINOP-MT,"Freitas, Filipe and Almeida, Rodrigo de and Fortuna, Jorge Luiz and Cabral, Claudius Couto and Franco, Robson Maia and Vieira, Thaís Badini",2019,SciELO,10.1590/1809-6891v20e-50116,pt,Não,Triagem título/resumo,Excluded,out of scope,
104,Efectos del tiempo de espera prefaena y la zona térmica en camiónsobre la inmovilidad tónica en pollos parrilleros,"Gallard, E. and Menichelli, M. and Revidatti, F.A. and Fernandez, R. and Sanz, P.",2018,SciELO,10.30972/vet.2923274,es,Não,Triagem título/resumo,Excluded,out of scope,
105,"Aves y mamíferos silvestres usados por pobladores del Bajo Urubamba, Cusco, Perú","Costa, Juan F and Ríos-Choronto, Robert and Peña-Candia, Luz Z and Simões, Erik",2018,SciELO,10.15381/rpb.v25i4.15534,es,Não,Triagem título/resumo,Excluded,out of scope,
106,"Morfologia do órgão vomeronasal da paca (Cuniculus paca Linnaeus, 1766)","Figueiredo, Mariana C.S. and Leal, Leonardo M. and Oliveira, Fabrício S. and Martins, Leandro L. and Garcia Filho, Sergio P. and Machado, Marcia R.F. and Sasahara, Tais H.C.",2018,SciELO,10.1590/1678-5150-pvb-5288,pt,Não,Triagem título/resumo,Excluded,out of scope,
107,"Comportamiento de los trastornos hipertensivos gestacionales, en el policlínico René Ávila Reyes, Holguín, Cuba, desde el año 2015 al 2016","Cedeño Escobar, Dainier and Checa Martínez, Yairelys and Ochoa Roca, Tatiana Zoila and San José Pérez, Daisy Maritza and Leyva Sánchez, Andrés",2018,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
108,"Production of cured, voided meat sausage with apple pomade added (Malus domestica) and its impact in nutritional and sensorial values","Loyola, Nelson and Acuña, Carlos and Fuentes, Diego and Arriola, Mariela",2018,SciELO,,en,Não,Triagem título/resumo,Excluded,out of scope,
109,A cost-effective method for rapid identification of the southern muriqui (Brachyteles arachnoids: a contribution for the control of illegal bushmeat trade,"Valões Cardoso, M. Luiza and Ferreira, Paula B and Wanderley, Artur M and Torres, Rodrigo A and Talebi Gomes, Mauricio and Teixeira, Rodrigo H. F and Duarte, José M. B and Garcia, José E",2018,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
110,"Cacería de venados Odocoileus virginianus, Mazama americana (Artiodactyla: Cervidae) en tres comunidades de Yucatán","Montes-Pérez, Rubén and Ek-May, Pedro and Aguilar-Cordero, Wilian and Magaña-Monforte, Juan and Montes-Cruz, Fausto",2018,SciELO,10.21929/abavet2018.81.9,es,Não,Triagem título/resumo,Excluded,out of scope,
111,Función de producción de la ganadería de carne en la zona sur del Estado de México,"Morales-Hernández, José Luis and González-Razo, Felipe de Jesús and Hernández Martínez, Juvencio",2018,SciELO,10.22319/rmcp.v9i1.4345,es,Não,Triagem título/resumo,Excluded,out of scope,
112,"Welfare-friendly Products: availability, labeling and opinion of retailers in Curitiba, Southern Brazil,","Franco, Bruna Maria Remonato and Souza, Ana Paula Oliveira and Molento, Carla Forte Maiolino",2018,SciELO,10.1590/1234-56781806-94790560101,en,Não,Triagem título/resumo,Excluded,out of scope,
113,"Hygienic sanitary conditions of vacuum packed beef produced by slaughterhouses qualified for export in the Mato Grosso state, Brazil","Machado, Maxsueli Aparecida Moura and Müller, Barbara and Carvalho, Ricardo César Tavares and Figueiredo, Eduardo Eustáquio de Souza",2018,SciELO,10.1590/0103-8478cr20170526,en,Não,Triagem título/resumo,Excluded,out of scope,
114,"Economic losses due to the occurrence of cysticercosis in cattle from cities located in Minas Gerais, Brazil","Rezende, Maria Teresa Nunes Pacheco and Komatsu, Raquel Satomi and Andrade, Renata Barbosa and Reis, Serly Lourenço Borges and Leite, Claudesina Rodrigues and Rocha, Stella Rabelo and Saut, João Paulo Elsen and Guimarães, Ednaldo Carvalho",2018,SciELO,10.1590/0103-8478cr20180483,en,Não,Triagem título/resumo,Excluded,out of scope,
115,Identificação de Demanda e Preferências no Consumo de Carne Ovina com Apoio de Técnicas de Estatística Multivariada,"Firetti, Ricardo and Alberti, Ana Lucia Luz and Zundt, Marilice and Carvalho-Filho, Antônio Assiz de and Oliveira, Eduardo Cardoso de",2017,SciELO,10.1590/1234-56781806-94790550404,pt,Não,Triagem título/resumo,Excluded,out of scope,
116,CONSERVACIÓN MICROBIOLÓGICA DE EMBUTIDO CARNICO ARTESANAL CON ACEITES ESENCIALES Eugenia caryophyllata Y Thymus vulgaris,"TOFIÑO-RIVERA, ADRIANA and ORTEGA-CUADROS, MAILEN and HERRERA-HINOJOSA, BELKIS KATINA and FRAGOSO-CASTILLA, PEDRO and PEDRAZA-CLAROS, BERTILDA",2017,SciELO,10.18684/bsaa(v15)ediciónespecial2.576,es,Não,Triagem título/resumo,Excluded,out of scope,
117,Evolução da produção e comercialização de produtos tradicionais qualificados de ovinos e caprinos (2003-2012),"Cabo, Paula and Matos, Alda and Fernandes, António and Ribeiro, Maria",2017,SciELO,10.19084/RCA16197,pt,Não,Triagem título/resumo,Excluded,out of scope,
118,"Efecto del Tipo de Alimentación sobre el Comportamiento Productivo, Características de la Canal y Calidad de Carne del Cerdo Criollo Negro Cajamarquino","Paredes Arana, Manuel and Vallejos Fernández, Luis and Mantilla Guerra, José",2017,SciELO,10.15381/rivep.v28i4.13879,es,Não,Triagem título/resumo,Excluded,out of scope,
119,Principais causas de condenação de fígado bovino em estabelecimento sob Serviço de Inspeção Federal na Zona da Mata mineira,"Souza, S.P. and Klem, M.C.A. and Costa, K.P. and Silva, L.F.",2017,SciELO,10.1590/1678-4162-9300,pt,Não,Triagem título/resumo,Excluded,out of scope,
120,Complementary use of neotropical savanna and grass-legume pastures for early weaning and effects on growth and metabolic status of weaners and inter-calving intervals of dams,"VERA, RAÚL R. and RAMÍREZ-RESTREPO, CARLOS A.",2017,SciELO,10.17138/tgft(5)50-65,en,Não,Triagem título/resumo,Excluded,out of scope,
121,Efecto del clorhidrato de clembuterol en la ganancia de peso y lesiones histológicas en ratones,"Valladares-Carranza, Benjamín and Bañuelos-Valenzuela, Rómulo and Peña-Betancourt, Silvia D. and Velázquez-Ordóñez, Valente and Echavarría-Cháirez, Francisco G. and Ortega-Santana, César and Sánchez-Torres, Juan E. and Lozano-Carbajal, Braulio",2017,SciELO,10.19052/mv.4395,es,Não,Triagem título/resumo,Excluded,out of scope,
122,Geography of Food and the Urban Network in the Tri-Border Brazil-Peru-Colombia: The Case of Production and Commercialization of Poultry in the Amazon,"Schor, Tatiana and da Costa Avelino, Francisco Carlos",2017,SciELO,10.15446/rcdg.v26n1.52301,en,Não,Triagem título/resumo,Excluded,out of scope,
123,BICULTIVO EN BIOFLOC DE CACHAMA BLANCA -Piaractus brachypomus-Y TILAPIA NILÒTICA -Oreochromis niloticus- ALIMENTADAS CON DIETAS DE ORIGEN VEGETAL,"Brú-Cordero, S. B and Buelvas, V. M and Ayazo-Genes, J. E and Atencio-García, V. J and Pardo-Carrasco, S. C",2017,SciELO,10.15446/rfmvz.v64n1.65824,es,Não,Triagem título/resumo,Excluded,out of scope,
124,Physicochemical characteristics of smoked cooked linguiças made with ostrich meat trimmings,"Nascimento, R.S. and Fonseca, A.B. and Feijó, M.B.S. and Franco, R.M. and Miranda, Z.B.",2017,SciELO,10.1590/1678-4162-8969,en,Não,Triagem título/resumo,Excluded,out of scope,
125,"Fatores associados à percepção e atitude de consumidores de carne bovina com certificação de origem em Uberlândia, Minas Gerais","Lopes, Marcos Aurélio and Maia, Érica Mariz and Bruhn, Fábio Raphael Pascoti and Custódio, Izadora Alvarenga and Rocha, Christiane Maria Barcellos Magalhães da and Faria, Peter Bittencout",2017,SciELO,10.1590/0034-737x201764010005,pt,Não,Triagem título/resumo,Excluded,out of scope,
126,Quality of beef burger with addition of wet okara along the storage,"Oliveira, Rafaela Bergmann Strada de and Lucia, Flávia Della and Ferreira, Eric Batista and Oliveira, Roseane Maria Evangelista de and Pimenta, Carlos José and Pimenta, Maria Emília de Sousa Gomes",2016,SciELO,10.1590/1413-70542016406005816,en,Não,Triagem título/resumo,Excluded,out of scope,
127,"El mercado de huevo para plato en México, 1960-2012","Cruz-Jiménez, Susana and García-Mata, Roberto and Mora-Flores, José S. and García-Sánchez, Roberto C.",2016,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
128,"Brucella abortus detected in cheese from the Amazon region: differentiation of a vaccine strain (B19) from the field strain in the states of Pará, Amapá and Rondônia, Brazil","Silva, Jacqueline and Moraes, Carina M. de and Silva, Cleyzer L. and Sales, Gustavo A. and Keid, Lara B. and Matos, Paulo C.M. and Lara, Ana P.S.S. and Moraes, Carla C.G.",2016,SciELO,10.1590/S0100-736X2016000800005,en,Não,Triagem título/resumo,Excluded,out of scope,
129,"Análisis comparativo del uso de Ictalurus punctatus (Rafinesque, 1818) y Cyprinus carpio (Linnaeus, 1758) en la elaboración de hamburguesas","Cerón-Ortiz, Ana Nallely and Castillo-Martínez, Elías and Ángeles-Monroy, Miguel Ángel",2016,SciELO,10.15174/au.2016.881,es,Não,Triagem título/resumo,Excluded,out of scope,
130,"O Naturalismo e o Direito: uma análise teórica dos institutos jurídicos presentes no romance «A carne», de Júlio Ribeiro","Silva, Tito Lívio Cabral Renovato",2016,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
131,Efecto de la alimentación con lodo de palma (Elaeis guineensis) sobre la producción de leche,"Zambrano Morán, Ramón and Kuffo Lara, Guido and Alcívar Hidalgo, Brenda and Intriago García, Janet",2016,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
132,PRINCIPAIS CAUSAS DE CONDENAÇÃO AO ABATE DE AVES EM MATADOUROS FRIGORÍFICOS REGISTRADOS NO SERVIÇO BRASILEIRO DE INSPEÇÃO FEDERAL ENTRE 2006 E 2011,"Oliveira, Adriana Aguiar and Andrade, Maria Auxiliadora and Armendaris, Paulo Marcel and Bueno, Pedro Henrique Salgado",2016,SciELO,10.1590/1089-6891v17i123020,pt,Não,Triagem título/resumo,Excluded,out of scope,
133,Avaliação da progênie de ovelhas Merino Australiano cruzadas com carneiro Dorper ou Southdown,"Bianchi, G. and Carvalho, S. and Rivero, J.",2016,SciELO,10.1590/1678-4162-7706,pt,Não,Triagem título/resumo,Excluded,out of scope,
134,Propiedades físico-químicas y tecnológicas de la carne en dos genotipos de pollos de crecimiento lento,"Michel, M.A. and Revidatti, F. and Sindik, M. and Sanz, P.",2015,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
135,O Destino das Mulheres e de sua Carne: regulação de gênero e o Estado em Moçambique,"Pinho, Osmundo",2015,SciELO,10.1590/18094449201500450157,pt,Não,Triagem título/resumo,Excluded,out of scope,
136,Aminas bioativas e qualidade da carne de frangos de corte,"Assis, D.C.S. and Menezes, L.D. M. and Silva, G.R. and Caccioppoli, J. and Santos, E.L.S. and Heneine, L.G.D. and Figueiredo, T.C. and Cançado, S.V.",2015,SciELO,10.1590/1678-4162-7701,pt,Não,Triagem título/resumo,Excluded,out of scope,
137,"Teores de óleo de linhaça para bovinos confinados: medidas corporais, carcaça e cortes cárneos","ROSA, Bruna Laurindo and OLIVEIRA, Emanuel Almeida de and HENRIQUE, Wignez and PIVARO, Thiago Martins and CARVALHO, Victor Galli and MOTA, Diego Azevedo and PAZ, Cláudia Cristina Paro de and ANDRADE, Antonio Tadeu de and SAMPAIO, Alexandre Amstalden Moraes",2015,SciELO,10.1590/S1519-99402015000400009,pt,Não,Triagem título/resumo,Excluded,out of scope,
138,Loci asociados con enfermedades genéticas y calidad de carne en bovinos Charolais mexicanos,"Sifuentes Rincón, Ana María and Arellano Vera, Williams and Parra Bracamonte, Gaspar Manuel and Ambriz Morales, Pascuala and López Bustamante, Luis Arístides",2015,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
139,GENETIC PARAMETERS FOR GROWTH TRAITS OF SANTA INES SHEEP USING GIBBS SAMPLING,"BARBOSA, LEANDRO TEIXEIRA and SANTOS, GLEICIANNY DE BRITO and MUNIZ, EVANDRO NEVES and AZEVEDO, HYMERSON COSTA and FAGUNDES, JAILSON LARA",2015,SciELO,10.1590/1983-21252015v28n423rc,en,Não,Triagem título/resumo,Excluded,out of scope,
140,O ato de tatuar-se: gozo e identificação o ato de tatuar-se,"Macedo, Sybele and Paravidini, João Luiz Leitão",2015,SciELO,,pt,Não,Triagem título/resumo,Excluded,out of scope,
141,"Previdencia de la translocación robertsoniana 1;29 bovina en hatos ganaderos del estado de Zacatecas, México","Meza-López, Carlos and Lozano-Carbajal, Braulio and de la Colina-Flores, Federico and Bañuelos-Valenzuela, Rómulo and López-Carlos, Marco Antonio and Echavarría-Cháirez, Francisco G. and Reveles-Torres, Luis Roberto",2015,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
142,OXIDATIVE AND MICROBIOLOGICAL STABILITY OF FRESH PORK SAUSAGE WITH ADDED SUN MUSHROOM POWDER,"Stefanello, Flávia Santi and Cavalheiro, Carlos Pasqualin and Ludtke, Fernanda Luísa and Silva, Mariana dos Santos da and Fries, Leadir Lucy Martins and Kubota, Ernesto Hashime",2015,SciELO,10.1590/S1413-70542015000400009,en,Não,Triagem título/resumo,Excluded,out of scope,
143,The brazilian pig industry can adopt european welfare standards: a critical analysis,"Dias, Cleandro Pazinato and Silva, Caio Abércio da and Manteca, Xavier",2015,SciELO,10.1590/0103-8478cr20141040,en,Não,Triagem título/resumo,Excluded,out of scope,
144,Microstructural and physicochemical analysis of collagen in intramuscular pin bones of Bocachico fish (Prochilodus sp.),"Suárez, Héctor and Gaitán, Oscar and Díaz, Consuelo",2015,SciELO,10.17533/udea.rccp.v28n2a08,en,Não,Triagem título/resumo,Excluded,out of scope,
145,Occurrence of Campylobacter jejuni and C. coli on broiler carcasses after chilling in southern Brazil,"Perdoncini, Gustavo and Sierra-Arguello, Yuli M. and Lima, Leonardo M. and Trindade, Michele M. and Gomes, Marcos José Pereira and Santos, Luciana R. dos and Schmidt, Verônica and Nascimento, Vladimir Pinheiro do",2015,SciELO,10.1590/S0100-736X2015000400006,en,Não,Triagem título/resumo,Excluded,out of scope,
146,Nutritional adequacy in subjects with metabolic syndrome,"Carvalho, Cláudia Mesquita de and Dias Mendonça, Dayana and Haas Piovesan, Carla and Edler Macagnan, Fabrício and Pandolfo Feoli, Ana María",2015,SciELO,10.3305/nh.2015.31.3.8086,en,Não,Triagem título/resumo,Excluded,out of scope,
147,Identificação espécie-específica de carnes e produtos cárneos de origem bubalina e bovina pela técnica de PCR-RFLP,"Teixeira, L.V. and Teixeira, C.S. and Oliveira, D.A.A.",2015,SciELO,10.1590/1678-7239,pt,Não,Triagem título/resumo,Excluded,out of scope,
148,REVISIÓN CRÍTICA DE LOS POSTULADOS CLÁSICOS DEL COMERCIO INTERNACIONAL: UN EJERCICIO EMPÍRICO SOBRE COLOMBIA Y PERÚ,"GARCÉS CANO, JORGE ENRIQUE",2015,SciELO,10.14718/revfinanzpolitecon.2015.7.1.8,es,Não,Triagem título/resumo,Excluded,out of scope,
149,Willingness of the consumers of the Federal District - Brazil - to purchase beef meat with certification of origin,"Rigueira, L.L. and Lopes, M.A. and Bruhn, F.R.P. and Rodrigues, C.G. and Faria, P.B.",2014,SciELO,10.1590/1678-6958,en,Não,Triagem título/resumo,Excluded,estudo sem seções regulatórias significantes; fora do tema,
150,"Gasterópodos con potencial económico asociados al intermareal rocoso de la Región Marina Prioritaria 32, Guerrero, México","Torreblanca-Ramírez, Carmina and Flores-Garza, Rafael and Flores-Rodríguez, Pedro and García-Ibáñez, Sergio and Michel-Morfin, Jesús Emilio and Rosas-Acevedo, José Luis",2014,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
151,Formas plurais de governança: uma análise das transações de suprimento entre frigoríficos e pecuaristas,"Silveira, Rodrigo Lanna Franco da and Carrer, Marcelo José and Carvalho, Thiago B. and Foscaches, Caroline Acosta Lezcano and Saes, Maria Sylvia Macchione",2014,SciELO,,pt,Não,Triagem título/resumo,Excluded,out of scope,
152,"Comportamiento de la oferta y demanda regional de carne de cerdo en canal en México, 1994-2012","Rebollar Rebollar, Alfredo and Gómez Tenorio, Germán and Hernández Martínez, Juvencio and Rebollar Rebollar, Samuel and González Razo, Felipe de Jesús",2014,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
153,Avaliação microbiológica de carne de charque produzida industrialmente,"Abrantes, Maria Rociene and Sousa, Ana Carina Praciano and Araújo, Nikolay Kiev Saraiva de and Sousa, Êlika Suzianny de and Oliveira, Adriene Rosceli Menezes de and Silva, Jean Berg Alves da",2014,SciELO,10.1590/1808-1657000942012,pt,Não,Triagem título/resumo,Excluded,out of scope,
154,Microbiological growth in normal and PSE pork stored under refrigeration,"Caldara, Fabiana Ribeiro and Santos, Luan Sousa dos and Nieto, Viviane Maria Oliveira dos Santos and Foppa, Luciana and Santos, Rita de Kássia Silva dos and Paz, Ibiara Correia de Lima Almeida and Garcia, Rodrigo Garófallo and Nääs, Irenilza de Alencar",2014,SciELO,,en,Não,Triagem título/resumo,Excluded,out of scope,
155,Growth of Brazilian beef production: effect of shocks of supply and demand,"Silva Neto, Waldemiro Alcântara da and Bacchi, Mirian Rumenos Piedade",2014,SciELO,,en,Não,Triagem título/resumo,Excluded,out of scope,
156,Salmonella spp. in the pork supply chain: a risk approach,"Rodríguez, Diego M and Suárez, Martha C",2014,SciELO,,en,Não,Triagem título/resumo,Excluded,out of scope,
157,Competitividad de la carne de ganado bovino entre los países miembros del TLCAN 1997-2008,"Omaña Silvestre, José Miguel and Almora Bustos, Isael and Cruz Galindo, Bartolomé and Hoyos Fernández, Gabriela L. and Quintero Ramírez, Juan Manuel and Fortis Hernández, Manuel",2014,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
158,Using pedigree analysis to monitor the local Piau pig breed conservation program,"Veroneze, R. and Lopes, P.S. and Guimarães, S.E.F. and Guimarães, J.D. and Costa, E.V. and Faria, V.R. and Costa, K.A.",2014,SciELO,10.4321/S0004-05922014000100005,en,Não,Triagem título/resumo,Excluded,out of scope,
159,"ABUNDANCIA Y MADUREZ SEXUAL DE ANADARA SIMILIS EN EL MANGLAR DE LUISICO, BAHÍA MÁLAGA, PACÍFICO COLOMBIANO*","Manjarrés-Villamil, Alex E. and Lucero-Rincón, Carlos H. and Gualteros, William O. and Cantera-Kintz, Jaime R. and Gil-Agudelo, Diego L.",2013,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
160,"Terneza, grasa intramuscular y de cobertura en carne de novillos faenados en Corrientes (Argentina)","Ynsaurralde, A.E and Rébak, G.I and Sánchez, S and Capellari, A",2013,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
161,Active packaged lamb with oxygen scavenger/carbon dioxide emitter sachet: physical-chemical and microbiological stability during refrigerated storage,"Trindade, Marco Antonio and Villanueva, Nilda Doris Montes and Antunes, Catharine Vendemiatto and Freire, Maria Teresa de Alvarenga",2013,SciELO,10.1590/S1981-67232013005000027,en,Não,Triagem título/resumo,Excluded,out of scope,
162,"Condições higiênico-sanitárias e físico-estruturais da área de manipulação de carne in natura em minimercados de Recife (PE), Brasil","Costa, Juliana Nóbrega Pereira da and Santos, Vládima Virgínia Mendes and Silva, Giselle Ramos da and Moura, Fernanda Maria Lino de and Gurgel, Carlos Alberto Bezerra and Moura, Andrea Paiva Botelho Lapenda de",2013,SciELO,,pt,Não,Triagem título/resumo,Excluded,out of scope,
163,Shelf life and sensory assessment of tilapia quenelle during frozen storage,"Angelini, Maria Fernanda Calil and Galvão, Juliana Antunes and Vieira, Amanda de Freitas and Savay-da-Silva, Luciana Kimie and Shirahigue, Ligianne Din and Cabral, Ingridy Simone Ribeiro and Modesta, Regina Célia Della and Gallo, Cláudio Rosa and Oetterer, Marília",2013,SciELO,10.1590/S0100-204X2013000800038,en,Não,Triagem título/resumo,Excluded,out of scope,
164,Factores no Genéticos y de Grupo Racial que Afectan el Peso al Nacer en un Sistema de Producción con Vacunos de Carne,"Pacheco, Francisco and Depablos, Luis and Martínez, Gonzalo and Vargas, Daniel",2013,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
165,Factores de manejo pre y post sacrificio asociados a la presencia de carne DFD en ganado bovino durante la época cálida,"Pérez-Linares, Cristina and Sánchez-López, Eduardo and Ríos-Rincón, Francisco Gerardo and Olivas-Valdéz, José Angel and Figueroa-Saavedra, Fernando and Barreras-Serrano, Alberto",2013,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
166,Métodos alternativos para contagem de micro-organismos em carcaças suínas,"Cattani, Cristhiane Stecanella de Oliveira and Fuchs, Pedro Ivo Pinheiro and Cirolini, Andréia and Vieira, Cleide Rosana Werneck",2013,SciELO,,pt,Não,Triagem título/resumo,Excluded,out of scope,
167,"Prevalencia de Salmonella spp. en carne porcina, plantas de beneficio y expendios del Tolima","Arcos - Ávila, Evelyn C. and Mora - Cardona, Leandro and Fandiño - de Rubio, Luz C. and Rondón - Barragán, Iang S.",2013,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
168,Estado nutricional e ingesta alimentaria de poblaciones de regiones de altura del Noroeste Argentino,"Bassett, María Natalia and Gimenez, Maria Alejandra and Romaguera, Dora and Sammán, Norma",2013,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
169,Metalotioninas en Perna viridis (Bivalvia: Mytilidae): variación estacional y su relación con la biología reproductiva,"Lemus, Mairin and Rojas, Nilis and Rojas-Astudillo, Luisa and Chung, Kyung",2013,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
170,"Epidemiological survey of the taeniasis/cysticercosis complex in cattle farms in Viçosa County, Minas Gerais, Brazil","Santos, Tatiane O. and Pinto, Paulo S.A. and Iasbik, Adriana F. and Silva, Letícia F. and Nieto, Emílio C.A. and Guimarães-Peixoto, Rafaella P.M.",2013,SciELO,,en,Não,Triagem título/resumo,Excluded,out of scope,
171,Enumeração de Campylobacter spp. e presença de Campylobacter jejuni em carcaças de frango no estado de Minas Gerais,"Oliveira, Afonso de Liguori and Oliveira, Roseane Batitucci Passos de and Oliveira, Afonso de Liguori and Oliveira, Roseane Batitucci Passos de",2013,SciELO,,pt,Não,Triagem título/resumo,Excluded,out of scope,
172,Alimentos mais consumidos no Brasil: Inquérito Nacional de Alimentação 2008-2009,"Souza, Amanda de M. and Pereira, Rosangela A. and Yokoo, Edna M. and Levy, Renata B. and Sichieri, Rosely",2013,SciELO,,pt,Não,Triagem título/resumo,Excluded,out of scope,
